driver_name,driver_email,hire_date,route_id,am_time,midday_time,pm_time
Jean-Luc Picard,picard@example.org,2016-03-14,S 01,6:15-8:40,,2:05-4:30
William Riker,riker@example.org,2016-08-22,S 02,6:20-8:45,,2:10-4:35
Deanna Troi,troi@example.org,2016-11-05,S 03,6:30-8:50,,2:15-4:40
Geordi La Forge,laforge@example.org,2017-01-18,S 04,6:25-8:55,,2:00-4:25
Beverly Crusher,crusher@example.org,2017-04-09,S 05,6:35-8:55,,2:10-4:45
Worf Rozhenko,worf@example.org,2017-06-21,S 06,6:10-8:30,,2:05-4:20
Data Soong,data@example.org,2017-09-02,S 07,6:40-9:00,,2:20-4:50
Miles O'Brien,obrien@example.org,2017-11-15,S 08,6:15-8:35,11:00-12:15,2:05-4:30
Jadzia Dax,jadzia@example.org,2018-01-08,S 09,6:20-8:40,,2:10-4:35
Benjamin Sisko,sisko@example.org,2018-02-14,S 10,6:05-8:25,,2:00-4:20
Kira Nerys,kira@example.org,2018-04-30,S 11,6:30-8:50,,2:15-4:40
Julian Bashir,bashir@example.org,2018-07-12,S 12,6:25-8:45,,2:10-4:30
Elim Garak,garak@example.org,2018-09-01,S 13,6:35-8:55,,2:20-4:45
Ezri Dax,ezri@example.org,2018-09-01,S 14,6:40-9:05,,2:15-4:50
Quark Ferengi,quark@example.org,2018-11-20,S 15,6:15-8:30,,2:05-4:25
Odo Constable,odo@example.org,2019-01-07,S 16,6:20-8:40,,2:10-4:35
Kathryn Janeway,janeway@example.org,2019-03-25,S 17,6:10-8:35,,2:00-4:30
Chakotay Paris,chakotay@example.org,2019-05-16,S 18,6:30-8:55,,2:15-4:40
B'Elanna Torres,torres@example.org,2019-08-03,S 19,6:25-8:50,,2:10-4:35
Tom Paris,tparis@example.org,2019-10-19,S 20,6:35-9:00,,2:20-4:45
Harry Kim,hkim@example.org,2019-12-02,S 21,6:15-8:40,,2:05-4:30
Tuvok Vulcan,tuvok@example.org,2020-01-14,S 22,6:20-8:45,,2:10-4:35
Neelix Talaxian,neelix@example.org,2020-03-09,S 23,6:30-8:50,11:15-12:30,2:15-4:40
Seven Of Nine,seven@example.org,2020-05-28,S 24,6:25-8:55,,2:10-4:45
Michael Burnham,burnham@example.org,2020-08-11,S 25,6:10-8:30,,2:00-4:20
Saru Kelpien,saru@example.org,2020-10-06,S 26,6:35-8:55,,2:15-4:40
Sylvia Tilly,tilly@example.org,2020-12-01,S 27,6:40-9:00,,2:20-4:50
Paul Stamets,stamets@example.org,2021-02-17,S 28,6:15-8:40,,2:05-4:30
Hugh Culber,culber@example.org,2021-04-22,S 29,6:20-8:45,,2:10-4:35
Christopher Pike,pike@example.org,2021-06-08,S 30,6:05-8:25,,2:00-4:20
Spock Sarekson,spock@example.org,2021-06-08,S 31,6:30-8:50,,2:15-4:40
James Kirk,kirk@example.org,2021-09-13,S 32,6:25-8:45,,2:10-4:30
Leonard McCoy,mccoy@example.org,2021-11-29,S 33,6:35-8:55,,2:20-4:45
Montgomery Scott,scotty@example.org,2022-01-10,S 34,6:15-8:35,,2:05-4:25
Hikaru Sulu,sulu@example.org,2022-03-21,S 35,6:20-8:40,,2:10-4:35
Pavel Chekov,chekov@example.org,2022-05-04,S 36,6:30-8:50,,2:15-4:40
Nyota Uhura,uhura@example.org,2022-07-18,S 37,6:25-8:55,,2:10-4:45
Christine Chapel,chapel@example.org,2022-09-06,S 38,6:40-9:05,,2:20-4:50
Una Chin-Riley,una@example.org,2022-11-14,S 39,6:15-8:40,,2:05-4:30
La'an Noonien-Singh,laan@example.org,2023-01-23,S 40,6:20-8:45,,2:10-4:35
Erica Ortegas,ortegas@example.org,2023-03-07,S 41,6:30-8:50,,2:15-4:40
Joseph M'Benga,mbenga@example.org,2023-05-19,S 42,6:25-8:55,11:00-12:10,2:10-4:45
Philippa Georgiou,georgiou@example.org,2023-08-02,S 43,6:10-8:30,,2:00-4:20
Raffi Musiker,musiker@example.org,2023-10-16,S 44,6:35-8:55,,2:15-4:40
Agnes Jurati,jurati@example.org,2023-12-04,S 45,6:40-9:00,,2:20-4:50
Cristobal Rios,rios@example.org,2024-02-12,S 46,6:15-8:40,,2:05-4:30
Soji Asha,soji@example.org,2024-04-29,S 47,6:20-8:45,,2:10-4:35
Ro Laren,ro@example.org,2024-07-08,S 48,6:30-8:50,,2:15-4:40
Reginald Barclay,barclay@example.org,2024-09-01,S 49,6:25-8:55,,2:10-4:45
Guinan Listener,guinan@example.org,2025-01-15,S 50,6:35-9:00,,2:20-4:50
